teff,logg,period
4377.0,4.5,14.047
4260.0,4.51,18.472
4267.0,4.68,41.883
4163.0,4.41,34.353
4004.0,4.33,13.581
4385.0,4.72,20.139
3778.0,4.84,18.886
3773.0,4.82,22.17
4377.0,4.39,1.361
3488.0,4.92,36.754
3843.0,4.61,0.653
4178.0,4.6,13.423
3898.0,4.78,17.779
4207.0,4.51,31.259
3381.0,4.93,46.222
4393.0,4.41,58.563
4127.0,4.66,13.177
3813.0,4.79,23.104
4378.0,4.63,36.69
3418.0,4.97,42.126
4049.0,4.49,28.508
4066.0,4.53,34.583
3589.0,4.8,45.893
4266.0,4.52,24.134
3677.0,4.85,31.32
4175.0,4.62,13.261
4160.0,4.63,43.302
4188.0,4.63,14.658
4362.0,4.47,17.127
4269.0,4.69,26.847
3897.0,4.51,31.177
4055.0,4.65,15.087
4217.0,4.62,12.822
4221.0,4.55,14.43
4262.0,4.83,38.926
4322.0,4.47,1.716
4321.0,4.65,31.836
3946.0,4.75,23.27
4038.0,4.59,49.396
4123.0,4.33,41.704
4133.0,4.83,34.447
4213.0,4.58,43.511
4048.0,4.53,26.848
3668.0,4.35,43.942
4404.0,4.79,10.092
4328.0,4.63,28.394
3951.0,4.72,31.847
4233.0,4.56,25.799
3591.0,4.93,10.729
4172.0,4.58,12.477
3997.0,4.7,29.086
4206.0,4.53,11.138
3402.0,4.98,48.559
4194.0,4.48,18.581
4297.0,4.69,37.188
4107.0,4.52,22.384
4054.0,4.55,22.086
4372.0,4.62,39.127
3783.0,4.72,1.96
3756.0,4.74,39.64
4293.0,4.67,1.584
3692.0,4.82,28.723
3897.0,4.72,32.665
4394.0,4.59,27.361
4150.0,4.54,33.621
4102.0,4.54,14.637
4278.0,4.8,18.681
4293.0,4.63,38.017
4026.0,4.69,0.745
4086.0,4.36,23.593
4110.0,4.64,41.708
4115.0,4.57,25.966
3977.0,4.72,14.943
3734.0,4.84,26.855
4317.0,4.6,15.725
4210.0,4.52,31.643
4163.0,4.71,25.098
4079.0,4.64,17.895
4246.0,4.67,40.358
3529.0,4.93,45.786
3568.0,5.0,32.002
3415.0,4.91,26.574
4014.0,4.6,13.746
3879.0,4.73,27.54
4287.0,4.6,24.578
4179.0,4.45,17.174
4211.0,4.56,0.783
4203.0,4.64,23.178
3654.0,4.91,39.301
4067.0,4.55,28.235
3735.0,4.77,21.497
4295.0,4.44,22.473
3944.0,4.54,36.948
4329.0,4.35,40.755
3830.0,4.79,17.337
3687.0,4.82,27.082
4106.0,4.52,11.658
4229.0,4.51,23.743
4205.0,4.45,12.998
4339.0,4.56,20.814
4138.0,4.66,6.871
3647.0,4.84,30.885
4089.0,4.4,5.085
4186.0,4.58,31.433
3709.0,4.81,17.566
4213.0,4.66,11.959
3644.0,4.83,27.409
4112.0,4.48,34.025
3931.0,4.72,25.4
4332.0,4.7,13.216
4121.0,4.55,19.759
4342.0,4.51,23.901
4389.0,4.41,17.958
4317.0,4.6,27.091
4300.0,4.55,17.861
4388.0,4.67,14.041
3820.0,4.78,27.055
4087.0,4.39,25.183
3632.0,4.78,45.381
4165.0,4.41,42.39
4144.0,4.78,13.406
4289.0,4.52,12.904
3887.0,4.72,15.455
3751.0,4.75,42.898
4322.0,4.69,17.006
3914.0,4.71,14.129
4403.0,4.88,31.918
4106.0,4.6,35.63
4072.0,4.47,34.051
3500.0,4.96,21.296
4313.0,4.42,4.379
4137.0,4.47,11.523
4259.0,4.71,23.496
4335.0,4.65,43.769
3982.0,4.41,23.84
4279.0,4.72,23.544
4258.0,4.61,24.869
4348.0,4.52,3.741
3423.0,4.9,53.254
3799.0,4.75,19.125
4364.0,4.37,33.164
